산업,종목명,티커,구분,현재가,평균목표가_6M,최고목표가_6M,최저목표가_6M,최근목표가,최근발표일,최근증권사,괴리율_최근,목표가변동률,목표가변동기준,목표가변동_타기관,리포트건수_6M
양방향미디어와서비스,카카오,035720,해외,41750.0,63600.0,83000.0,45000.0,45000.0,2026-05-08,Nomura,7.78,-45.78,Macquarie,True,5
양방향미디어와서비스,SOOP,067160,해외,49300.0,72500.0,80000.0,65000.0,65000.0,2026-05-04,JP Morgan,31.85,-18.75,HSBC,True,2
에너지장비및서비스,한화솔루션,009830,해외,42400.0,43000.0,60000.0,26000.0,60000.0,2026-04-30,JP Morgan,41.51,130.77,JP Morgan,False,2
우주항공과국방,한화에어로스페이스,012450,해외,1257000.0,1664000.0,1900000.0,1250000.0,1800000.0,2026-05-04,Nomura,43.2,-5.26,JP Morgan,True,5
우주항공과국방,한국항공우주,047810,해외,168300.0,178000.0,240000.0,130000.0,240000.0,2026-04-08,JP Morgan,42.6,33.33,JP Morgan,False,5
우주항공과국방,현대로템,064350,해외,205000.0,314000.0,350000.0,280000.0,350000.0,2026-04-28,Macquarie,70.73,16.67,JP Morgan,True,5
우주항공과국방,LIG디펜스앤에어로스페이스,079550,해외,928000.0,876000.0,1200000.0,560000.0,1200000.0,2026-05-08,Nomura,29.31,9.09,JP Morgan,True,5
은행,기업은행,024110,해외,20900.0,23750.0,27000.0,22000.0,27000.0,2026-03-28,HSBC,29.19,22.73,Macquarie,True,4
은행,KB금융,105560,해외,159700.0,195600.0,210000.0,188000.0,210000.0,2026-04-27,Macquarie,31.5,5.0,JP Morgan,True,5
자동차,기아,000270,해외,164500.0,252000.0,290000.0,230000.0,290000.0,2026-05-19,Macquarie,76.29,26.09,Macquarie,False,5
자동차,현대차,005380,해외,657000.0,675000.0,800000.0,590000.0,800000.0,2026-05-19,Macquarie,21.77,35.59,Macquarie,False,4
자동차부품,현대모비스,012330,해외,652000.0,548000.0,570000.0,520000.0,520000.0,2026-04-27,Nomura,-20.25,-8.77,Nomura,False,5
자동차부품,한온시스템,018880,해외,5040.0,4700.0,4700.0,4700.0,4700.0,2026-02-04,Macquarie,-6.75,,,False,1
자동차부품,HL만도,204320,해외,62700.0,64333.33,65000.0,63000.0,63000.0,2026-04-30,Nomura,0.48,-3.08,Nomura,False,3
전기유틸리티,한전기술,052690,해외,146100.0,122600.0,260000.0,50000.0,260000.0,2026-05-14,JP Morgan,77.96,420.0,JP Morgan,False,5
전기장비,LS ELECTRIC,010120,해외,280000.0,220000.0,320000.0,150000.0,320000.0,2026-04-30,Citi,14.29,39.13,Citi,False,5
전기제품,삼성SDI,006400,해외,643000.0,649000.0,900000.0,175000.0,420000.0,2026-04-30,Macquarie,-34.68,-53.33,Nomura,True,5
전기제품,에코프로비엠,247540,해외,195000.0,212800.0,280000.0,154000.0,180000.0,2026-05-04,JP Morgan,-7.69,0.0,JP Morgan,False,5
전기제품,LG에너지솔루션,373220,해외,396500.0,453400.0,530000.0,347000.0,530000.0,2026-05-04,JP Morgan,33.67,3.92,JP Morgan,False,5
